RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
15016299025229,Academy for Global Citizenship,66.0,91.0,88.0,70.0,2021
15016902025201,ACE Amandla Charter School,,59.0,59.0,,2021
15016299025284,Acero Chtr Sch Network  - Jovita Idar,49.0,26.0,52.0,65.0,2021
15016299025085,Acero Chtr Sch Network -  Major Hector P Garcia MD Campus,58.0,52.0,76.0,80.0,2021
15016299025262,Acero Chtr Sch Network - Bartolome de las Casas,63.0,83.0,89.0,75.0,2021
15016299025270,Acero Chtr Sch Network - Brighton Park Campus,54.0,49.0,69.0,62.0,2021
15016299025261,Acero Chtr Sch Network - Carlos Fuentes Campus,49.0,65.0,78.0,74.0,2021
15016299025267,Acero Chtr Sch Network - Esmeralda Santiago Campus,70.0,74.0,72.0,74.0,2021
15016299025259,Acero Chtr Sch Network - Octavio Paz Campus,54.0,62.0,81.0,55.0,2021
15016299025263,Acero Chtr Sch Network - Officer Donald J Marquez Campus,,48.0,76.0,,2021
15016299025285,Acero Chtr Sch Network - PFC Omar E Torres Campus,37.0,33.0,57.0,57.0,2021
15016299025260,Acero Chtr Sch Network - Rufino Tamayo Campus,63.0,81.0,86.0,67.0,2021
15016299025264,Acero Chtr Sch Network - SPC Daniel Zizumbo Campus,49.0,40.0,64.0,61.0,2021
15016299025086,Acero Chtr Sch Network Victoria Soto Campus,64.0,59.0,86.0,81.0,2021
15016299025266,Acero Chtr Sch Network- Sandra Cisneros Campus,47.0,69.0,58.0,57.0,2021
15016299025268,Acero Chtr Sch Newtwork - Roberto Clemente Campus,63.0,90.0,89.0,72.0,2021
15016299025049,Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,40.0,22.0,36.0,52.0,2021
1.50163E+14,Addams Elem School,,43.0,53.0,,2021
1.50163E+14,Air Force Acad High School,89.0,64.0,52.0,83.0,2021
1.50163E+14,Albany Park Multicultural Elem,77.0,67.0,53.0,76.0,2021
1.50163E+14,Alcott College Prep,64.0,93.0,99.0,91.0,2021
1.50163E+14,Alcott Elem School,45.0,,,62.0,2021
1.50163E+14,Aldridge Elem School,61.0,74.0,43.0,68.0,2021
1.50163E+14,Amundsen High School,,65.0,83.0,,2021
1.50163E+14,Ariel Elem Community Academy,,36.0,64.0,,2021
1.50163E+14,Armour Elem School,58.0,82.0,85.0,64.0,2021
1.50163E+14,Armstrong G Elem IntL Studies,69.0,70.0,75.0,68.0,2021
15016299025111,Art in Motion Charter School,,,,,2021
1.50163E+14,Ashburn Community Elem School,58.0,68.0,76.0,57.0,2021
1.50163E+14,Ashe Elem School,73.0,53.0,65.0,74.0,2021
15016299025214,Asian Human Services -Passage Chrtr,,48.0,65.0,,2021
15016299025079,Aspira Charter - Business and Finance HS,,51.0,50.0,,2021
15016299025074,ASPIRA Charter - Early College Prep HS,53.0,69.0,79.0,70.0,2021
15016299025110,ASPIRA Charter - Haugan Campus,91.0,89.0,74.0,80.0,2021
1.50163E+14,Audubon Elem School,56.0,49.0,68.0,72.0,2021
1.50163E+14,Austin College and Career Academy High School,,50.0,29.0,,2021
1.50163E+14,Avalon Park Elem School,50.0,33.0,37.0,55.0,2021
1.50163E+14,Avondale - Logandale Elementary School,58.0,70.0,88.0,64.0,2021
1.50163E+14,Azuela Elem School,56.0,46.0,66.0,54.0,2021
1.50163E+14,Back of The Yards IB HS,76.0,72.0,73.0,85.0,2021
15016904025202,Barbara A Sizemore Campus,85.0,,,61.0,2021
1.50163E+14,Barnard Elem Comp Math & Sci Ctr,42.0,61.0,61.0,43.0,2021
1.50163E+14,Barry Elem School,57.0,63.0,69.0,70.0,2021
1.50163E+14,Barton Elem School,,,,,2021
1.50163E+14,Bass Elem School,72.0,64.0,54.0,66.0,2021
1.50163E+14,Bateman Elem School,,54.0,77.0,,2021
1.50163E+14,Beard Elem School,,44.0,87.0,,2021
1.50163E+14,Beasley Elem Magnet Academic Ctr,,65.0,70.0,,2021
1.50163E+14,Beaubien Elem School,52.0,61.0,83.0,68.0,2021
1.50163E+14,Beethoven Elem School,,41.0,38.0,,2021
1.50163E+14,Beidler Elem School,73.0,60.0,68.0,71.0,2021
1.50163E+14,Belding Elem School,62.0,76.0,88.0,75.0,2021
1.50163E+14,Bell Elem School,49.0,32.0,71.0,63.0,2021
1.50163E+14,Belmont-Cragin Elem School,41.0,69.0,84.0,62.0,2021
1.50163E+14,Bennett Elem School,,55.0,68.0,,2021
15016904025201,Betty  Shabazz International Charter School,80.0,84.0,89.0,42.0,2021
1.50163E+14,Black Magnet Elem School,91.0,83.0,88.0,82.0,2021
1.50163E+14,Blaine Elem School,63.0,39.0,71.0,64.0,2021
1.50163E+14,Blair Early Childhood Center,,98.0,99.0,,2021
1.50163E+14,Bogan High School,66.0,52.0,56.0,63.0,2021
1.50163E+14,Bond Elem School,89.0,58.0,61.0,80.0,2021
1.50163E+14,Boone Elem School,62.0,56.0,56.0,73.0,2021
1.50163E+14,Bouchet Elem Math & Science Acad,78.0,78.0,76.0,73.0,2021
1.50163E+14,Bowen High School,49.0,49.0,59.0,64.0,2021
1.50163E+14,Bradwell Comm Arts & Sci Elem Sch,54.0,66.0,59.0,58.0,2021
1.50163E+14,Brennemann Elem School,67.0,56.0,64.0,77.0,2021
1.50163E+14,Brentano Elem Math & Science Acad,,58.0,79.0,,2021
1.50163E+14,Bret Harte Elem School,56.0,62.0,71.0,51.0,2021
1.50163E+14,Bridge Elem School,50.0,42.0,56.0,56.0,2021
1.50163E+14,Bright Elem School,,52.0,69.0,,2021
1.50163E+14,Brighton Park Elem School,50.0,55.0,53.0,59.0,2021
15016903025201,Bronzeville Academy Charter School,76.0,38.0,43.0,54.0,2021
1.50163E+14,Bronzeville Classical Elementary School,79.0,75.0,85.0,99.0,2021
1.50163E+14,Bronzeville Scholastic HS,64.0,68.0,58.0,66.0,2021
1.50163E+14,Brooks College Prep Academy HS,77.0,69.0,81.0,82.0,2021
1.50163E+14,Brown  W Elem School,65.0,23.0,42.0,58.0,2021
1.50163E+14,Brown R Elem Community Acad,89.0,45.0,45.0,90.0,2021
