RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990252809,610132,Network 13,Poe Elem Classical School,0.0%,2.8%,5.5%,7.5%,7.5%,,,,,,,
150162990252811,609958,Network 8,Gunsaulus Elem Scholastic Academy,0.2%,9.8%,20.2%,12.7%,11.9%,,,,,,,
15016299025226C,400069,Charter,Polaris Elem Charter Academy,0.2%,27.8%,8.5%,3.7%,53.2%,,,,,,,
150162990252856,610298,Network 11,Lenart Elem Regional Gifted Ctr,0.4%,1.8%,12.7%,6.0%,6.2%,,,,,,,
150162990252361,610082,ISP,Mount Greenwood Elem School,0.6%,3.9%,8.2%,12.3%,7.9%,,,,,,,
150162990252501,610217,Network 6,Ward  J Elem School,0.6%,6.3%,11.7%,8.5%,9.1%,,,,,,,
150162990252172,609896,Network 6,Drummond Elem School,0.8%,0.8%,14.9%,18.9%,16.1%,,,,,,,
15016299025260C,400084,Charter,Acero Chtr Sch Network - Rufino Tamayo Elem Sch,0.8%,10.3%,24.1%,21.9%,20.4%,,,,,,,
15016299025262C,400081,Charter,Acero Chtr Sch Network - Bartolome de las Casas Elem Sch,0.8%,19.7%,32.4%,34.8%,29.6%,,,,,,,
150162990252082,609799,Network 4,Bell Elem School,1.0%,2.9%,12.7%,14.5%,13.2%,,,,,,,
150162990252249,609974,Network 4,Hawthorne Elem Scholastic Academy,1.0%,3.4%,6.0%,11.3%,9.5%,,,,,,,
150162990252486,610201,ISP,Thorp  O A Elem Scholastic Acad,1.1%,6.1%,17.0%,18.3%,15.1%,,,,,,,
150162990252192,609909,ISP,Everett Elem School,1.1%,9.2%,14.3%,,,,,,,,,
150162990252805,609880,Network 2,Decatur Classical Elem School,1.2%,1.5%,12.3%,12.4%,14.8%,,,,,,,
150162990252240,609963,Network 4,Hamilton Elem School,1.2%,3.9%,12.9%,12.6%,15.2%,,,,,,,
150162990252345,610066,Network 12,McDade Elem Classical School,1.2%,5.4%,8.4%,6.7%,5.0%,,,,,,,
15016299025267C,400114,Charter,Acero Chtr Sch Network - Esmeralda Santiago Elem Sch,1.2%,9.8%,21.2%,11.8%,10.3%,,,,,,,
150162990252184,609794,Network 1,Edison Elem Regional Gifted Cntr,1.3%,2.2%,8.7%,10.6%,12.8%,,,,,,,
15016299025275C,400111,Charter,LEARN Chtr -  Hunter Perkins Campus,1.3%,8.3%,40.1%,49.6%,38.1%,,,,,,,
150162990252389,610109,Network 10,Owen Elem Scholastic Academy,1.3%,11.1%,18.9%,15.2%,18.5%,,,,,,,
150162990252442,610178,Network 12,Schmid Elem School,1.3%,27.1%,41.2%,43.4%,49.0%,,,,,,,
150162990252451,610081,ISP,Sheridan Elem Math & Science Acad,1.4%,2.7%,11.4%,10.0%,9.6%,,,,,,,
150162990252337,610059,Network 4,Mayer Elem School,1.4%,5.8%,14.5%,16.9%,14.2%,,,,,,,
150162990252920,610248,Network 1,Chicago Academy Elem School,1.5%,5.2%,26.2%,26.2%,18.5%,,,,,,,
15016299025245C,400180,Charter,KIPP Chicago Charter School - KIPP One Academy,1.5%,21.9%,30.6%,22.9%,15.6%,,,,,,,
150162990252516,610230,Network 1,Wildwood Elem School,1.6%,5.0%,10.9%,13.2%,15.0%,,,,,,,
150162990252971,610589,Network 8,Sor Juana Ines de la Cruz,1.6%,5.8%,26.2%,13.3%,11.1%,,,,,,,
150162990252293,610016,Network 10,Kellogg Elem School,1.6%,6.1%,14.0%,9.3%,12.0%,,,,,,,
150162990252497,610366,ISP,Wacker Elem School,1.6%,14.4%,25.4%,18.0%,16.4%,,,,,,,
150162990252739,610084,Network 10,Keller Elem Gifted Magnet School,1.7%,1.8%,9.4%,8.9%,0.0%,,,,,,,
150162990252183,609901,Network 1,Edgebrook Elem School,1.7%,2.5%,7.7%,11.1%,11.5%,,,,,,,
150162990252967,610548,ISP,STEM Magnet Academy Elem,1.8%,3.3%,17.7%,11.3%,9.3%,,,,,,,
150162990252919,610170,ISP,Columbia Explorers Elem Academy,1.8%,6.7%,21.2%,19.4%,15.8%,,,,,,,
150162990252235,609959,Network 6,Haines Elem School,1.9%,1.7%,7.1%,7.1%,8.1%,,,,,,,
150162990252104,609820,Network 4,Burley Elem School,1.9%,3.4%,13.1%,11.1%,9.1%,,,,,,,
150162990252358,610078,Network 4,Inter-American Elem Magnet School,1.9%,6.6%,22.3%,21.0%,16.9%,,,,,,,
150162990252130,609853,Network 4,Chase Elem School,1.9%,13.8%,41.2%,36.2%,23.4%,,,,,,,
150162990252941,610405,Network 6,Suder Montessori Elem Magnet Schl,1.9%,14.9%,33.2%,32.9%,25.0%,,,,,,,
150162990252283,610060,Network 6,Chicago World Language Academy,2.0%,4.2%,16.1%,12.7%,14.6%,,,,,,,
150162990252315,610039,Network 4,Linne Elem School,2.0%,5.7%,22.7%,20.9%,28.8%,,,,,,,
150162990252410,610136,Network 4,Prescott Elem School,2.0%,7.5%,18.1%,15.1%,15.5%,,,,,,,
150162990252949,610515,Network 14,Disney II Elem School,2.1%,1.5%,14.5%,16.8%,17.9%,,,,,,,
150162990252434,610155,Network 1,Sauganash Elem School,2.1%,3.1%,13.4%,14.6%,16.2%,,,,,,,
150162990252086,610350,Network 12,Black Magnet Elem School,2.1%,7.2%,19.4%,10.8%,12.9%,,,,,,,
150162990252062,609782,Network 4,Audubon Elem School,2.2%,3.6%,13.6%,14.9%,12.3%,,,,,,,
150162990252254,609979,Network 6,Healy Elem School,2.2%,4.5%,11.8%,10.5%,11.5%,,,,,,,
150162990252108,609828,Network 6,Burr Elem School,2.2%,5.6%,19.4%,12.5%,16.8%,,,,,,,
150162990252955,610520,ISP,LaSalle II Lang Acad Elem Sch,2.2%,6.9%,18.3%,17.5%,19.4%,,,,,,,
150162990252193,610362,Network 11,Evers Elem School,2.2%,10.5%,30.5%,30.6%,32.5%,,,,,,,
15016299025263C,400089,Charter,Acero Chtr Sch Network - Officer Donald J Marquez  Elem,2.2%,23.3%,43.8%,27.7%,26.4%,,,,,,,
150162990252842,610329,Network 7,Orozco Elem Fine Arts & Sciences,2.3%,5.1%,15.5%,12.2%,16.7%,,,,,,,
150162990252070,609792,Network 1,Bateman Elem School,2.3%,11.4%,19.3%,22.9%,23.1%,,,,,,,
150162990252850,610212,Network 1,Albany Park Multicultural Elem,2.3%,14.6%,22.4%,28.1%,20.6%,,,,,,,
150162990252355,610074,Network 4,Logan Square Elementary,2.3%,19.5%,45.9%,37.8%,41.4%,,,,,,,
150162990252265,609994,Network 1,Hibbard Elem School,2.4%,12.6%,25.9%,21.4%,26.4%,,,,,,,
15016299025246C,400025,Charter,CICS - Bucktown Campus,2.4%,20.3%,51.5%,39.8%,42.3%,,,,,,,
150162990252826,609895,ISP,Turner-Drew Elem Language Academy,2.4%,24.3%,26.0%,26.1%,31.6%,,,,,,,
150162990252959,610534,Network 4,Skinner North Elem Sch,2.5%,1.3%,11.6%,13.2%,11.7%,,,,,,,
150162990252141,609866,Network 2,Coonley Elem School,2.5%,2.9%,12.5%,12.4%,13.8%,,,,,,,
150162990252285,610011,Network 2,Jamieson Elem School,2.5%,7.1%,20.7%,23.0%,25.1%,,,,,,,
15016299025251C,400030,Charter,CICS - West Belden Campus,2.5%,7.6%,29.1%,26.1%,18.6%,,,,,,,
15016299025268C,400120,Charter,Acero Chtr Sch Newtwork - Roberto Clemente Elem School,2.5%,14.4%,30.0%,27.6%,29.8%,,,,,,,
